season,player_id,person_id,career_id,name,bats,throws,position,height_in,weight_lb,dob,hometown,status,jersey,team_slug
2024,74f2ul8oj9ziwp6e,74f2ul8oj9ziwp6e,career:7251d47fdf85551d,Ethan Swanson,R,R,P,69,185,1999-05-28,"Alva, Oklahoma",Active,25,missoulapaddleheads
2024,9l910el42nwgabhj,9l910el42nwgabhj,career:977290f1f24d4be6,Mark Timmins,R,R,P,75,205,1998-05-12,"Omaha, Nebraska",Active,26,missoulapaddleheads
2024,koqpcmgoa2kpsx80,koqpcmgoa2kpsx80,career:6f66af2038a6dd9e,Taylor Smith,R,R,C,73,225,2000-02-25,"Georgetown, Texas",Active,27,missoulapaddleheads
2024,hhwze5mdmby945dz,hhwze5mdmby945dz,career:b8e1e8a6877c2223,Nick Parker,R,R,,73,208,1999-10-17,"Rockwell, TX",Active,28,missoulapaddleheads
2024,2jekl5p0bw0dcauf,2jekl5p0bw0dcauf,career:9d3d9c529e63ae9d,Nick Smith,R,R,P,76,235,2000-07-18,"Boonville, IN",Injured,29,missoulapaddleheads
2024,tw3g3g8l1rabfd58,tw3g3g8l1rabfd58,career:bc032436be080345,Jonathan Clark,R,R,P,73,190,2000-06-03,"Redwood City, California",Active,30,missoulapaddleheads
2024,ow5xb5vu4sghu3vz,ow5xb5vu4sghu3vz,career:87d717258e4ab2c1,Noah McBride,L,L,P,75,215,1999-06-01,"Lakeside, CA",Active,31,missoulapaddleheads
2024,kac14my78mwcltzf,kac14my78mwcltzf,career:42051f1222b4273c,Jimmy Loper,R,R,P,76,215,,"Honolulu, HI",Active,32,missoulapaddleheads
2024,c77edpz75d3za5my,c77edpz75d3za5my,career:0cae631ebcd9f8c6,Garrett Eddy,L,L,P,73,185,1991-06-26,"Chicago, IL",Active,37,missoulapaddleheads
2024,w8m7czaz1zc2f6ka,w8m7czaz1zc2f6ka,career:42d9a1ed8166b9b0,Mason Bryant,R,R,P,78,225,2000-02-16,"Austin, TX",Inactive,38,missoulapaddleheads
2024,71az1dbl2oo220qr,71az1dbl2oo220qr,career:655f62c0c389fa98,Arman Sabouri,R,L,P,70,200,1998-06-28,"Santa Clara, California",Active,40,missoulapaddleheads
2024,jou038gupboqkglm,jou038gupboqkglm,career:33d074ed01d48e61,Adam Fogel,R,R,OF,77,215,1998-09-02,"Palos Verdes Estates, CA",Active,55,missoulapaddleheads
2024,wpf5zn8yuig1xvjq,wpf5zn8yuig1xvjq,career:ac4f7d1b189b5742,Tyler Johnson,L,L,1B,72,220,1999-10-25,"Bentonville, AR",Inactive,64,missoulapaddleheads
2024,y1iw2ag9p6we2d7d,y1iw2ag9p6we2d7d,career:8a9dc0d8b8b59a09,Curran Jacobs,R,R,P,77,242,2000-05-17,,Inactive,72,missoulapaddleheads
2024,93bvuamjlm66eaqu,93bvuamjlm66eaqu,career:f079a4269e7fe1f1,Jaylon Lee,R,R,OF,71,200,1995-12-13,"Newport News, VA",Inactive,90,missoulapaddleheads
2024,n3fr0cvnro4s1gfy,n3fr0cvnro4s1gfy,career:88fb86dbd0e64424,Reece Fields,R,R,P,74,200,2001-09-20,"West Columbia, SC",Inactive,98,missoulapaddleheads
2024,dledqo0jza7jumab,dledqo0jza7jumab,career:acd29c2ecf9deb82,Mark Schommer,R,R,P,76,235,2000-07-18,"Boonville, IN",Inactive,99,missoulapaddleheads
2024,lmdqcass6pt006xa,lmdqcass6pt006xa,career:58a36ca2df315906,Euro Diaz,L,L,OF,,180,1999-04-04,"Houston, TX",Active,2,northerncoloradoowlz
2024,18xjass4s3okcxu5,18xjass4s3okcxu5,career:273a66a331384dcd,Damon Maynard,R,R,C,70,185,1999-01-05,"Indianapolis, Ind.",Active,3,northerncoloradoowlz
2024,h4tmaxhcifcr04tj,h4tmaxhcifcr04tj,career:347a323dd60c51b8,Henry George,L,L,OF,,180,1998-12-05,"Woodbury, Minn.",Active,5,northerncoloradoowlz
2024,wswcdo5rkhdrmp2h,wswcdo5rkhdrmp2h,career:ecfe9ea4a409c24e,Jonny Barditch,R,R,IF,66,165,2000-02-16,"Miami, Fla.",Active,7,northerncoloradoowlz
2024,2x2nz84vkfjzctz5,2x2nz84vkfjzctz5,career:87d6f85ede1afbe7,Kevin Jimenez,L,R,IF,,190,1999-03-24,"Tucson, AZ",Active,8,northerncoloradoowlz
2024,uoxwwfw4e7ua5izk,uoxwwfw4e7ua5izk,career:c0d8849acbc3b146,Tyler Curtis,R,R,RHP,,200,1999-11-15,"Las Vegas, Nev.",Active,9,northerncoloradoowlz
2024,xuuaxwurjn3nfkjp,xuuaxwurjn3nfkjp,career:560cc639251ebf1d,Omar Ortiz,R,R,IF,,210,1998-07-25,"Las Vegas, Nev.",Inactive,9,northerncoloradoowlz
2024,mpbr6yirdxhj36zi,mpbr6yirdxhj36zi,career:4007222b8af3a971,Abdel Guadalupe,R,R,OF,70,185,1997-02-20,"Fajardo, Puerto Rico",Active,12,northerncoloradoowlz
2024,44znfpd12rwthh1p,44znfpd12rwthh1p,career:d84151a53a2666cb,Chris Brady,R,R,C,72,195,1999-02-02,"Arlington, VA",Inactive,14,northerncoloradoowlz
2024,iqdo087snqkus8c0,iqdo087snqkus8c0,career:0db1ea2a5ea80aef,Reece Yeargain,R,R,C,73,195,1997-04-19,,Active,14,northerncoloradoowlz
2024,t8mu8ambhqo05rkt,t8mu8ambhqo05rkt,career:bdcf61d1b16aad44,Mark Tindall,R,R,RHP,,220,1998-03-24,"Houston, Texas",Active,15,northerncoloradoowlz
2024,vbh3nyxzr56grlis,vbh3nyxzr56grlis,career:1c16685146e758cb,Carter Linton,R,R,RHP,,195,1998-06-14,"Kingsport, Tenn.",Active,16,northerncoloradoowlz
2024,w9jyd9epu857c7bh,w9jyd9epu857c7bh,career:35b652af0fd5f7cb,Brandon Kaminer,L,L,LHP,,205,1999-05-28,"Plantation, Fla.",Active,17,northerncoloradoowlz
2024,5fqljf4w5b6yz32d,5fqljf4w5b6yz32d,career:6ccd84a6b55e4616,Danny Perez,L,R,IF,,225,1998-07-23,"Queens, NY",Active,18,northerncoloradoowlz
2024,10fcz4tbqx3hij8l,10fcz4tbqx3hij8l,career:365e9c20a95282eb,Dario Gomez,R,R,OF,,199,2000-03-28,"Oakley, Calif.",Active,19,northerncoloradoowlz
2024,kyzpt79w9n9nxo36,kyzpt79w9n9nxo36,career:afbf50aa48ff1d67,Dave Matthews,L,L,OF,,215,1997-10-19,"Newtown, Conn.",Active,20,northerncoloradoowlz
2024,9dyy2wtipddph35a,9dyy2wtipddph35a,career:918582d67b666a84,Jacob McCaskey,R,R,IF/RHP,,205,1999-09-30,"Tarentum, Pa.",Active,21,northerncoloradoowlz
2024,z4pola979v5tt8la,z4pola979v5tt8la,career:9b3de8f36bc977f9,Dutch Landis,R,R,RHP,,210,2001-06-03,"Las Vegas, Nev.",Active,22,northerncoloradoowlz
2024,kp4qf4i7gq5p5536,kp4qf4i7gq5p5536,career:a3a66276483695e1,Kevin Santiago,R,R,IF,,200,1998-10-26,"Jayuya, Puerto Rico",Active,23,northerncoloradoowlz
2024,e92v989rd7yvxzz1,e92v989rd7yvxzz1,career:f07eec0e19a2a2e7,Chase Jessee,L,L,LHP,,210,1999-06-08,"Mansfield, Ohio",Active,24,northerncoloradoowlz
2024,oiuugksp6v2ftkdz,oiuugksp6v2ftkdz,career:cf20608ab9ba4ce7,Nathan Draves,R,R,RHP,,245,1999-04-03,"Manhattan Beach, Calif.",Active,26,northerncoloradoowlz
2024,2pur31lwbf9kduyi,2pur31lwbf9kduyi,career:f6df48dc153c8d0e,Chase Gearing,R,R,RHP,,190,1999-08-18,"Troy, Mich.",Active,28,northerncoloradoowlz
2024,5nzkp731gui2tuqq,5nzkp731gui2tuqq,career:e94079b5b39eeeab,Reese Miller,R,R,RHP,74,205,2000-05-28,"Dayton, Texas",Active,29,northerncoloradoowlz
2024,u584ghd1jozncvgr,u584ghd1jozncvgr,career:a6d0b81273a80c26,Chase Martinez,R,R,RHP,70,190,1999-04-12,"San Diego, Calif.",Active,31,northerncoloradoowlz
2024,rh9f2ek376lfc148,rh9f2ek376lfc148,career:f61083a35da53eb4,Evan Scavotto,R,R,IF,,200,2001-10-30,"Puyallup, Wash.",Active,32,northerncoloradoowlz
2024,uz46r2ds4bvhi1eg,uz46r2ds4bvhi1eg,career:028f277dbcf43e05,Dalton Ross,R,R,RHP,,205,1998-07-16,"Statesboro, Ga.",Active,33,northerncoloradoowlz
2024,vvdx8t34ji0y2gn9,vvdx8t34ji0y2gn9,career:e65f3dbd920135dc,Robb Adams,L,L,LHP,76,185,1998-12-26,"Arcadia, Fla.",Active,34,northerncoloradoowlz
2024,5z6i7mxsboq24cmm,5z6i7mxsboq24cmm,career:e8aacbd76985bc75,Jackson Coutts,L,R,IF,,240,1998-09-01,"Orono, ME",Active,36,northerncoloradoowlz
2024,so4ip9z0y9489jtw,so4ip9z0y9489jtw,career:800187d621c9862c,Kris Massey,L,L,LHP,76,200,1999-11-05,"Indianapolis, Ind.",Inactive,66,northerncoloradoowlz
2024,4p75zf2hynf21qgn,4p75zf2hynf21qgn,career:70f157755c83a2e8,Sam Low,R,R,IF,74,180,2001-04-27,"Littleton, Colo.",Inactive,67,northerncoloradoowlz
2024,wuffp5k6iedl9yvi,wuffp5k6iedl9yvi,career:860ecdcf8a2c7484,Garrett Kueber,R,R,IF,,185,1996-09-26,"Clarksville, Tenn.",Inactive,76,northerncoloradoowlz
2024,aag4p2jl83ftumua,aag4p2jl83ftumua,career:447597798a8e24a4,Eric Gustofson,L,L,LHP,72,197,2001-12-20,"Easton, Pa.",Inactive,77,northerncoloradoowlz
2024,ygz2nhvazzlvmg89,ygz2nhvazzlvmg89,career:ef1aefa5f0f43f6d,Johnny Colombo,R,R,,75,185,2000-05-25,"Chicago, Ill.",Inactive,79,northerncoloradoowlz
2024,mu8a6mfreomdj51a,mu8a6mfreomdj51a,career:43abe46f7046360d,Starling Perez,R,R,RHP,75,182,2000-09-02,,Inactive,81,northerncoloradoowlz
2024,qlvetbdmpg72cii3,qlvetbdmpg72cii3,career:45d80fe618950c20,Raul Ortega,S,R,,,,1999-09-04,"Nutley, N.J.",Inactive,87,northerncoloradoowlz
2024,adzjcff2x1u71g6i,adzjcff2x1u71g6i,career:e003af404c034997,Brandon Trammell,L,R,OF,77,235,1998-10-27,"Knoxville, Tenn.",Inactive,96,northerncoloradoowlz
2024,ayswwag8i6d9vz9h,ayswwag8i6d9vz9h,career:a5b0cff28c98ca30,Gabriel Lundbeck,R,R,P,,190,1999-11-06,,Inactive,97,northerncoloradoowlz
2024,wnxzjldog2kwwmrq,wnxzjldog2kwwmrq,career:6f03d7bc7b32e2f2,Trent Weldon,R,R,IF,73,200,1998-07-01,,Inactive,98,northerncoloradoowlz
2024,ttvanbk1azfgpa4x,ttvanbk1azfgpa4x,career:0516e3028ee4d4a9,Reid Johnson,R,R,RHP,78,200,2002-05-31,"Frederick, Colo.",Inactive,99,northerncoloradoowlz
2024,az4ih8utwyknljrz,az4ih8utwyknljrz,career:591fbfa3f171132b,Payton Harden,L,L,OF,68,158,2000-07-11,"Atascocita, TX",Injured,1,oaklandballers
2024,35dyp57wosq2r51n,35dyp57wosq2r51n,career:5df4ecaf8e25611f,Jaylen Smith,R,R,3B,70,195,1997-06-25,"Lithonia, GA",Active,3,oaklandballers
2024,bs3tai4sg07adq95,bs3tai4sg07adq95,career:50b2bc8670a72e57,Brett Carson,L,L,CF,71,190,2000-07-28,"Ashville, Ohio",Active,4,oaklandballers
2024,1m0mow8j971q3eth,1m0mow8j971q3eth,career:978cd267058e936b,Dan Covino,L,R,2B,,,2000-10-05,,Inactive,4,oaklandballers
2024,7g10t9eaymev8tky,7g10t9eaymev8tky,career:1538f62a17988fce,John Pyle,R,R,UTL,72,195,2002-09-13,"San Diego, CA",Inactive,4,oaklandballers
2024,dp723km1thlio6tb,dp723km1thlio6tb,career:937fb8acdec4d06e,Brad Burckel,L,R,2B,68,175,1999-10-13,"Lindale, TX",Active,5,oaklandballers
2024,qtb6lnpca3092enm,qtb6lnpca3092enm,career:481e1a9dec2b3e42,Kyle Guerra,L,R,OF,69,175,1998-09-01,"San Leandro, CA",Active,7,oaklandballers
2024,2txeba3l9o0tzy8o,2txeba3l9o0tzy8o,career:91f13f3c425392e9,TJ Czyz,R,R,P,73,180,2000-09-12,"Reno, NV",Inactive,8,oaklandballers
2024,6l9ju1ccozohpq77,6l9ju1ccozohpq77,career:3f902c705794e356,Alex Escobar,R,R,P,71,175,2000-05-06,"Modesto, CA",Inactive,8,oaklandballers
2024,yfto6vkm3p1z1k76,yfto6vkm3p1z1k76,career:e86e3fdaea95db1b,Kelsie Whitmore,S,R,P,66,160,1998-06-05,"San Diego, CA",Protected,9,oaklandballers
2024,wwrblow8x6w3cv5l,wwrblow8x6w3cv5l,career:6abea20a6f415ab0,Myles Jefferson,R,R,SS,71,192,2000-08-27,"Katy, TX",Inactive,10,oaklandballers
2024,38v47s9fbcnl1amg,38v47s9fbcnl1amg,career:13677f7ad974421d,Kyle Pijaszek,R,R,RHP,72,180,2002-02-07,"Grand Blanc, MI",Active,10,oaklandballers
2024,v8snr9e9affrgnbz,v8snr9e9affrgnbz,career:5fd8c3323e0444d9,Nick Adgar,R,R,OF,73,230,1996-11-14,"Alameda, CA",Inactive,11,oaklandballers
2024,zx4hjdlaphp68kp6,zx4hjdlaphp68kp6,career:66aaadeb92373e19,Bradley Burdett,L,L,P,,,1995-02-20,,Inactive,11,oaklandballers
2024,m0obhuxtbln6cb96,m0obhuxtbln6cb96,career:43985efa26b41fdd,Stephen Wilmer,S,L,OF,69,200,2000-02-29,"Sarasota, Florida",Active,11,oaklandballers
2024,ksk97h8qcj0sgd49,ksk97h8qcj0sgd49,career:5256c29eca2b0126,Zach St. Pierre,R,R,P,71,185,1998-02-16,"Allen, TX",Active,14,oaklandballers
2024,11piarqvgvrzh724,11piarqvgvrzh724,career:7d7ec1f269c2fe75,JP Gates,L,L,P/1B,74,230,1999-12-04,"Brooksville, FL",Inactive,15,oaklandballers
2024,zsf1ptdh764xxxm6,zsf1ptdh764xxxm6,career:86a99ac776b97932,Carson Lambert,L,R,P,76,200,1999-09-02,"Thousand Oaks, CA",Active,16,oaklandballers
2024,a2h1qe47e3raipz9,a2h1qe47e3raipz9,career:9e44814124d5b6d9,Reed Butz,L,L,P,74,190,1996-11-16,"Rockford, IL",Active,17,oaklandballers
2024,spkrmn1lntn5rifc,spkrmn1lntn5rifc,career:e74fd96dd25ae498,Drew Woodcox,R,R,OF,72,200,2001-07-16,"Houston, TX",Inactive,18,oaklandballers
2024,59sd4opre7ey9ce0,59sd4opre7ey9ce0,career:1f17b18683fa97f5,Brett Barrera,R,R,3B,74,215,2001-05-07,"Rancho Cucamonga, CA",Active,19,oaklandballers
2024,llgwk1grslyd4cvb,llgwk1grslyd4cvb,career:dbed4ebac0d029b4,Aaron Eden,R,R,P,74,225,1999-11-16,"Los Angeles, CA",Inactive,19,oaklandballers
2024,qqvjjxf920gceqvr,qqvjjxf920gceqvr,career:a084c3413297a20d,Andrew Martinez,R,R,INF,71,185,1997-06-17,"San Francisco, CA",Inactive,19,oaklandballers
2024,0cd7pfsbqrrvnpoj,0cd7pfsbqrrvnpoj,career:711a4dca9f5b263b,Dondrei Hubbard,R,R,OF,72,230,1995-05-05,"Houston, TX",Active,20,oaklandballers
2024,kugpp6i7m004w7ps,kugpp6i7m004w7ps,career:920f215fd2f16d5e,Connor Sullivan,R,R,P,77,175,2001-07-04,"Martinez, CA",Active,21,oaklandballers
2024,rnip55032k74edbk,rnip55032k74edbk,career:8495bc1032531161,Chandler David,R,R,P,73,205,2000-10-03,"Van Alstyne, TX",Active,22,oaklandballers
2024,mrj63gyklqqmbnl9,mrj63gyklqqmbnl9,career:15cbaa403c1b279d,Tyler Davis,R,R,TWP,75,210,1998-10-03,"Webster, TX",Inactive,22,oaklandballers
2024,6o95zsogcrrn1mp5,6o95zsogcrrn1mp5,career:1c95bbff9d37782e,Noah Martinez,L,L,1B,77,235,1999-08-27,"New Milford, CT",Active,23,oaklandballers
2024,p605h5xhsf2gsora,p605h5xhsf2gsora,career:ff0cb4038a71cd48,Ian Jenkins,R,R,OF,71,205,1998-04-28,"Atlanta, GA",Inactive,24,oaklandballers
2024,8xhazkb5zc41bz6c,8xhazkb5zc41bz6c,career:39d95c6f047974fd,Josh Leslie,R,R,INF,72,190,2000-07-25,"Menomonee Falls, WI",Active,24,oaklandballers
2024,4n4684bowqi7vuqk,4n4684bowqi7vuqk,career:7b5025c812e03fa1,Elijah Pleasants,R,R,P,77,200,2000-05-04,"Tacoma, WA",Inactive,25,oaklandballers
2024,vtwi8ic44ckxguxp,vtwi8ic44ckxguxp,career:a7716792d88725f5,Abraham De Leon,R,R,P,70,180,2000-03-09,"Spring, TX",Injured,26,oaklandballers
2024,hrwkxfkqmzd1k074,hrwkxfkqmzd1k074,career:600cd0fd760161d0,Coleton Horner,R,R,C,72,180,1997-07-08,"Turlock, CA",Injured,27,oaklandballers
2024,krbdkrmm9zwy6mr4,krbdkrmm9zwy6mr4,career:8538a498f9d28ca6,Jake Dahle,R,R,P,77,250,1999-05-22,"Tremonton, UT",Active,28,oaklandballers
2024,saih6jumtmdauhie,saih6jumtmdauhie,career:fa89a7ab4244dcf9,Jacob Riordan,R,R,P,,,1999-10-31,"Atlanta, GA",Inactive,29,oaklandballers
2024,nrqyofournpgojpn,nrqyofournpgojpn,career:6f9259d6e5d22778,Daunte Stuart,R,R,INF,72,195,2001-06-06,"Houston, TX",Active,29,oaklandballers
2024,s5axf8w7zilwjv21,s5axf8w7zilwjv21,career:9942f4fed7101fa4,Tyler Lozano,R,R,C,72,185,2000-04-26,"Stockton, CA",Active,30,oaklandballers
2024,ekd60jlitlarlwep,ekd60jlitlarlwep,career:11b6cb4d3b55a7ac,Justin Kleinsorge,L,R,P,77,215,1999-11-20,"Flower Mound, TX",Active,31,oaklandballers
2024,r3gkyn2wdqpqlafa,r3gkyn2wdqpqlafa,career:16032962b95d7308,Christian Cosby,R,R,P,77,220,1996-12-21,"Placentia, CA",Active,32,oaklandballers
2024,yjjf51rghusw1u21,yjjf51rghusw1u21,career:06bfa5779e441d46,Braydon Nelson,R,R,P,77,220,1998-10-01,"Brecksville, OH",Active,33,oaklandballers
2024,lkv1yyn1wqtpnont,lkv1yyn1wqtpnont,career:7912c6bac1b991ad,Eric Waldichuk,R,R,P,,,2000-02-09,,Inactive,33,oaklandballers
2024,8957qg9z0hhaa8ek,8957qg9z0hhaa8ek,career:1eed28e0927ec30d,Conner Richardson,R,R,P,76,239,2000-04-19,"Grand Forks, ND",Active,35,oaklandballers
2024,9vzf38gopjiiut3y,9vzf38gopjiiut3y,career:aea70ccee05b1976,Luke Short,L,L,P,73,205,2002-09-02,"San Jose, CA",Active,39,oaklandballers
2024,k0roujhrfwn1yhzs,k0roujhrfwn1yhzs,career:e74c615b08b2ab4a,Brody Eglite,R,R,P,74,230,2001-06-17,"Martinez, CA",Active,40,oaklandballers
2024,8a9cq4etob4zfehd,8a9cq4etob4zfehd,career:174e8ef10e116d34,Tripp Clark,R,R,C,75,220,2001-03-23,"Waco, TX",Active,56,oaklandballers
2024,ox4xjwnk3gw8r7sh,ox4xjwnk3gw8r7sh,career:e945ce913d56450d,Cole Jordan,R,R,INF,70,190,,"Newport Beach, CA",Active,3,ogdenraptors
2024,l1ovyun74yax80h5,l1ovyun74yax80h5,career:75dff4d3939a9d72,Christian Coipel,L,L,1B,75,215,1998-01-14,"Miami, FL",Inactive,8,ogdenraptors
2024,chqmwn5urdqxkeya,chqmwn5urdqxkeya,career:c86df8c6be58252a,Raymond Gil,R,R,IF,,6' 0,1999-01-13,"Miami, FL",Injured,9,ogdenraptors
2024,atwy7bpg8z8qvx24,atwy7bpg8z8qvx24,career:0c010717028604c9,Dylan Matsuoka,R,R,P,71,185,2001-12-29,"Nashville, TN",Active,10,ogdenraptors
2024,s5j2qwcu7e54r4d3,s5j2qwcu7e54r4d3,career:8d3810cd31d31146,Nico Saltaformaggio,R,R,RHP,72,200,,"Destrehan, Lousisianna",Active,12,ogdenraptors
2024,8sokjze1lb7ovz7r,8sokjze1lb7ovz7r,career:4e28ed5935dde282,Rafael Vazquez,L,R,RHP,,,1997-12-12,,Active,13,ogdenraptors
2024,ljc0qkgdaw6ui01u,ljc0qkgdaw6ui01u,career:2f152d62aeea3db7,Cameron Edmonson,R,L,LHP,69,170,,"Rochester, IL",Active,14,ogdenraptors
2024,ejwaqsmqjogywzr1,ejwaqsmqjogywzr1,career:7a10c35b04108529,Brayden Bonner,R,R,RHP,76,207,1997-11-20,"Murray, UT",Active,15,ogdenraptors
2024,b1n6czvuhgej6n6t,b1n6czvuhgej6n6t,career:3162c0d57dfe14c0,Jack Cone,L,R,OF,72,180,2000-05-14,"Fairfax Station, VA",Active,16,ogdenraptors
2024,iokg5r2hhkb0jv4j,iokg5r2hhkb0jv4j,career:2d34e001d4d3fae6,Kenny Oyama,L,L,OF,64,150,1999-03-22,"Trabuco Canyon, CA",Active,18,ogdenraptors
2024,i5yzy8u1yl7vvxg8,i5yzy8u1yl7vvxg8,career:e8b8b7a4fc9b8c01,Pearce Howard,L,R,OF,75,210,1997-09-20,"Silver Spring, MD",Active,21,ogdenraptors
2024,ph34vy7akq1411m5,ph34vy7akq1411m5,career:5be828e2eadac19a,Connor Bagnieski,L,R,IF,71,190,1997-12-31,"Suamico, WI",Active,22,ogdenraptors
2024,fsl117s4549rn5kz,fsl117s4549rn5kz,career:562fdaa4e5256428,Mitchell Stone,R,R,RHP,75,205,,"El Paso, TX",Active,23,ogdenraptors
2024,vcdlrx23pbmec5qr,vcdlrx23pbmec5qr,career:07b771b9f159ae90,Quinn Waterhouse,L,L,LHP,76,215,2000-07-29,"Bondurant, IA",Active,26,ogdenraptors
2024,67lncoxde35w413x,67lncoxde35w413x,career:25b864a872d23cd8,True Fontenot,,,SS,,,2000-03-25,"Tallahassee, FL",Active,28,ogdenraptors
2024,xdhkwpclbg5n78n1,xdhkwpclbg5n78n1,career:00ea8c6cb80cf568,Elliott Good,R,R,IF,74,205,,"Meriden, CT",Active,29,ogdenraptors
2024,l7qgq0pogyjj8v0q,l7qgq0pogyjj8v0q,career:ee3ea025f5b91e64,Gabriel Pacheco,R,R,RHP,73,195,2002-07-16,"Spring, TX",Active,31,ogdenraptors
2024,kq8cywcmjg5faql2,kq8cywcmjg5faql2,career:f7156c2f8003e098,Chris Macca,L,R,RHP,75,185,1998-06-25,"Tampa, FL",Active,33,ogdenraptors
2024,o05hhky2z0v1iwda,o05hhky2z0v1iwda,career:52892690e440337c,Landen Barns,R,R,UTL,71,195,1996-09-09,,Active,35,ogdenraptors
2024,oewxebl8ucyi9t6u,oewxebl8ucyi9t6u,career:52b8dd8b53593353,Christopher Sargent,R,R,1B/UTL,71,185,2000-07-11,"Bay Minette, AL",Active,37,ogdenraptors
2024,2gpu9l0mh1tfuqt9,2gpu9l0mh1tfuqt9,career:3b6693482c96cf5a,Jon Rice,R,R,RHP,74,175,1998-07-28,"Puyallup, WA",Active,38,ogdenraptors
2024,ef8s947884m7rozj,ef8s947884m7rozj,career:50e3d0cbec24fde7,Drew Brutcher,L,R,,77,215,2002-02-12,"Lakeland, FL",Active,43,ogdenraptors
2024,x0ekk7r4xxh8ln3k,x0ekk7r4xxh8ln3k,career:22590797e1ceb22b,Christian Griffin,R,R,RHP,76,250,1997-10-20,"Atlanta, GA",Active,44,ogdenraptors
2024,z9o2tvtpb32gu9mr,z9o2tvtpb32gu9mr,career:6ef60df9893455a9,Shawn Triplett,R,R,RHP,,195,,"Providence, UT",Active,46,ogdenraptors
2024,9wbeyxibkq61skst,9wbeyxibkq61skst,career:6e4880878b914294,Shane Gustafson,R,R,RHP,77,215,1998-10-09,"Rocklin, CA",Active,47,ogdenraptors
2024,4usg8nmw69h710rg,4usg8nmw69h710rg,career:caef5e9d9a2abcb3,Matthew Hess,R,R,RHP,,6' 7,1997-06-20,,Active,48,ogdenraptors
2024,qpwjxh8r3lc7lfzp,qpwjxh8r3lc7lfzp,career:968f91c3e97a7858,Matthew Golda,R,R,IF,,,1998-12-22,,Inactive,62,ogdenraptors
2024,klxyqnn2q9zfh6l4,klxyqnn2q9zfh6l4,career:63f0a88a94df6a38,Guillermo Cuevas,L,L,LHP,72,200,1999-05-13,"Bajos de Haina, Dominican Republic",Inactive,64,ogdenraptors
2024,z7dx8h6q2y9hpkge,z7dx8h6q2y9hpkge,career:0481a0d4facdab36,Elijah Gill,L,L,P,72,195,1998-12-02,"Jacksonville, FL",Inactive,65,ogdenraptors
2024,71b16boyk8ksflrn,71b16boyk8ksflrn,career:fbcee2ee69015fdd,Adrian Santa Cruz,R,R,RHP,76,225,,"Phoenix, AZ",Inactive,66,ogdenraptors
2024,nxk8b0i2fgvo03yr,nxk8b0i2fgvo03yr,career:3c9350fc3d62f79d,Chase Stratton,R,R,,70,190,1998-08-13,,Inactive,67,ogdenraptors
2024,7jnp0rh93ljkrcqj,7jnp0rh93ljkrcqj,career:b2342ee3265810f4,Parker DePasquale,R,R,OF,71,188,1997-07-05,"Salt Lake City, UT",Inactive,68,ogdenraptors
2024,nlnwz0c472vc7vl7,nlnwz0c472vc7vl7,career:edbf6ace6bcc0528,Alex Friesen,R,R,RHP,74,205,1999-08-19,"Midland City, Alabama",Inactive,70,ogdenraptors
2024,sy3lzpg4cmxn4ug0,sy3lzpg4cmxn4ug0,career:12280b6b61d0a211,Slater Schield,R,R,P,71,185,,,Inactive,71,ogdenraptors
2024,anj4l0skss7zv86r,anj4l0skss7zv86r,career:2054c366e80f22a7,Bruce Yamamoto,R,R,RHP,73,180,2001-06-25,"Los Angeles, CA",Inactive,72,ogdenraptors
2024,v5bnz4xeyt9tj36n,v5bnz4xeyt9tj36n,career:275ec37b25f78d17,Mark Schommer,R,R,,70,190,2000-07-18,"New Ulm, Minnesota",Inactive,73,ogdenraptors
2024,eq89p3afqc3lxnjt,eq89p3afqc3lxnjt,career:313fe8c81e8b3ea2,Chuck Steele,R,R,OF,,190,1996-08-03,"Woodland Hills, CA",Inactive,74,ogdenraptors
2024,7b6n4nyx39i8ra8h,7b6n4nyx39i8ra8h,career:c78a117e22e0414d,Jackson Smith,R,R,RHP,,,2000-02-06,,Inactive,75,ogdenraptors
2024,1cv5jx96ws3ootpk,1cv5jx96ws3ootpk,career:91b8e757fbf96a98,Anthony Herron Jr,R,R,OF,74,235,1999-12-19,"Chicago, IL",Inactive,76,ogdenraptors
2024,b0yeuyvjm1vciiqr,b0yeuyvjm1vciiqr,career:5835181c8ba7bb35,Thomas Greely,S,R,C,71,200,1998-02-09,"Tracy, CA",Inactive,77,ogdenraptors
2024,hhb3tu5whfpxzufg,hhb3tu5whfpxzufg,career:24072cb1c7b44588,David Reckers,R,R,,,220,1999-11-22,,Inactive,78,ogdenraptors
2024,kivboom9mczdw7kt,kivboom9mczdw7kt,career:227cba6c07000287,Eli Elliott,R,R,RHP,,185,2001-02-08,"Glendale, AZ",Inactive,80,ogdenraptors
2024,q2ttswabbkq578eq,q2ttswabbkq578eq,career:760df94b2eb9afe6,Will Fuenning,R,R,,74,195,1999-11-05,"Scottsdale, AZ",Inactive,82,ogdenraptors
2024,o67zwg9qijee96lq,o67zwg9qijee96lq,career:11195ed47e933178,Ryan Steckline,L,L,LHP,,228,,"Neward, DE",Inactive,85,ogdenraptors
2024,b57ezwgsgcan985l,b57ezwgsgcan985l,career:3c6cf6928db1ba43,Jhofez Mejias,L,L,LHP,70,150,2003-07-28,,Inactive,86,ogdenraptors
